Course Code,Course_Name,Title of the course,Meant for,Instructors,Year,Size
ECE105,BE,Basic Electronics,All + Repeaters,"Santosh Shah, R Tomar, Kanjlochan Jena, Deepak Nair",I,500
CSE104,CP,Computer Programming,All + Repeaters,"Poonam Gera, Vibhor Kant, Sudheer Sharma, Anukriti Bansal",I,500
ENG105(B),TCE,Technical Communication in English,All + Repeaters,"Manju Dhariwal, Usha Kanoongo, Payel Pal",I,500
MTH102,M-I,Mathematics I,All + Repeaters,"S K Gauttam, Manish Garg, Dheeerendra Mishra, Trivedi Harsh Chandrakant",I,500
PHY102,CLP,Classical Physics,All + Repeaters,"Pomitha Ghoshal, Amit Neogi, G D Sharma, Subhayan Biswas",I,500
MTH213,M-III,Mathematics III,All,"M K Kadalbajoo, Pratibha Garg, MTHTBD1, MTHTBD2",II,500
CSE226,AP,Advanced Programming,CSE+CCE,"Mukesh Jadon, Puneet Jain",II,350
CSE227,IDBMS,Information and Database Management Systems,CSE+CCE,"Rajbir Kaur, Nirmal S",II,350
CSE216,COA,Computer Organization and Architectures,CSE+CCE,"Preety Singh, Bharavi Mishra",II,350
CSE328,AI,Artificial Intelligence,CSE+CCE,"Kshitiz Verma, Puneet Jain",III,350
CSE327,IDS,Introduction to Data Science,CSE+CCE,"Subrat K Dash, Sakthi Balan",III,350
CSE321,SWE,Software Engineering,CSE+CCE,"Vikas Bajpai, R P Gorthi",III,350
ECE217,S&S,Signal and Systems,ECE+CCE,"Navneet Upadhyay, Nikhil Sharma",II,250
ECE214,DCS,Digital Circuits and Systems,ECE+CCE,"Santosh Shah, Kapil Jainwal",II,250
CSE228,OTA,Optimization Techniques and Applications,CSE,"Jayprakash Kar,Indrajeet singh",II,250
CSE329,CS,Computer Security,CSE,"Hemant Mehta, Shweta Bhandari",III,250
ECE325,DC,Digital Communication,ECE+CCE,"S Debnath, Nikhil Sharma",III,250
ECE326,DSP,Digital Signal Processing,ECE+CCE,"Divyang Rawal, Navneet Upadhyay",III,250
HSS203,PTS,"Psychology, Technology and Society",ECE+MTRE,"Rajbala Singh, Anu Malik",III,250
ECE216,SEMI,Semiconductor Devices and Circuits,ECE,Kanjlochan Jena,II,150
ECE332,EEM,Engineering Electromagnetics,ECE,"Deepak Nair, R Tomar",II,150
ECE331,MICROI,Microprocessor & Interface,ECE,Abhishek Sharma,III,150
HSS204,EFE,Economics for Engineers,CCE+ME,S S Nehra,III,150
HSS204,EFE,Economics for Engineers,1st 50% of CSE,S S Nehra,II,125
HSS203,PTS,"Psychology, Technology and Society",2nd 50% of CSE,"Rajbala Singh, Anu Malik",II,125
MME210,MEET,Modern Electrical and Elelctronics Technologies,ME,Gaurav Chaterjee,II,100
MME205,MOS,Mechanics of Solids,ME,A K Dargar,II,100
MME211,MT 1,Manufacturing Technology 1,ME,"Manoj Kumar, Mayank Modak",II,100
